"Fennel with orange & pinenut stuffing",Aug-10,"Page 72","Vegetarian",
"Fried green tomato with ripe tomato salsa",Aug-10,"Page 81","Vegetarian",
"Honeyed figs",Aug-10,"Page 16","Vegetarian",
"Marinated beetroot with grilled goat's cheese",Aug-10,"Page 137","Vegetarian",
"Ploughman's cheese & tomato pockets",Aug-10,"Page 94","Vegetarian",
"Ravioli with ricotta & hazelnut filling",Aug-10,"Page 74","Vegetarian",
"Roast aubergine with goat's cheese ",Aug-10,"Page 41","Vegetarian",
"Stuffed tomatoes",Aug-10,"Page 56","Vegetarian",
"Summer pea pasta",Aug-10,"Page 33","Vegetarian",
"Tomato tart",Aug-10,"Page 55","Vegetarian",
"Watercress soup",Aug-10,"Page 72","Vegetarian",
"Watermelon with dukkah dip",Aug-10,"Page 103","Vegetarian",
"Baked cheesy bean burritos",Sep-10,"Page 30","Vegetarian",
"Cheesy spinach bake",Sep-10,"Page 48","Vegetarian",
"Chilled melon soup",Sep-10,"Page 70","Vegetarian",
"Courgette & basil pasta with pesto crumbs",Sep-10,"Page 90","Vegetarian",
"Creamy garlic potatoes",Sep-10,"Page 66","Vegetarian",
"Creamy tomato soup",Sep-10,"Page 45","Vegetarian",
"Favourite pasta salad",Sep-10,"Page 48","Vegetarian",
"Gnocchi with lemon & chive pesto",Sep-10,"Page 26","Vegetarian",
"Mushroom & thyme risotto",Sep-10,"Page 36","Vegetarian",
"Pasta with pesto & fresh herbs",Sep-10,"Page 77","Vegetarian",
"Poblano & potato tacos",Sep-10,"Page 62","Vegetarian",
"Ratatouille with goat's cheese",Sep-10,"Page 38","Vegetarian",
"Refried bean quesadillas",Sep-10,"Page 30","Vegetarian",
"Spiced scrambled eggs",Sep-10,"Page 45","Vegetarian",
"Spiced squash pasta with lime pickle",Sep-10,"Page 78","Vegetarian",
"Spinach samosas with Indian salad",Sep-10,"Page 37","Vegetarian",
"Sweetcorn & avocado wraps",Sep-10,"Page 84","Vegetarian",
"Whole spelt & squash risotto",Sep-10,"Page 69","Vegetarian",
"All-day veggie breakfeast",Oct-10,"Page 46","Vegetarian",
"Avocado bagel",Oct-10,"Page 48","Vegetarian",
"Baked pumpkin with cream & onions",Oct-10,"Page 62","Vegetarian",
